Entry	Gene Names (primary)	Gene Names (ordered locus)
P73185		slr1394
P73184		slr1393
P73180		slr1391
P73168		slr1385
P73167		slr1384
P73165		slr1383
P73158		slr1378
P73156		slr1376
P73537		slr1363
P73535		slr1362
P73531		slr1357
P42350		slr1353
P74083		slr1344
P74080		slr1343
P74079		slr1342
P74076		slr1340
P74075		slr1339
P74074		slr1338
P74072		slr1336
P74027		slr1334
P74010		slr1327
P74004		slr1324
P74002		slr1322
P72589		slr1315
P72850		slr1307
P72844		slr1306
P72843		slr1305
P72841		slr1303
P72840		slr1302
P72839		slr1301
P72835		slr1300
P72834		slr1299
P72831		slr1298
P72825		slr1293
P72821		slr1290
P74203		slr1288
P74202		slr1287
P74196		slr1283
P74195		slr1282
P74188		slr1276
P74187		slr1275
P74185		slr1273
P74184		slr1272
P74182		slr1270
P74179		slr1266
P73803		slr1263
P73802		slr1262
P73801		slr1261
P73800		slr1260
P73799		slr1259
P73798		slr1258
P73797		slr1257
P73794		slr1253
P73789		slr1251
P73780		slr1246
P73778		slr1245
P73770		slr1243
P73498		slr1241
P73497		slr1240
P73483		slr1236
P73482		slr1235
P73481		slr1234
P73477		slr1232
P73475		slr1230
P73474		slr1229
P73467		slr1223
P73464		slr1222
P73463		slr1220
P73461		slr1218
P73366		slr1215
P73365		slr1214
P73364		slr1213
P73361		slr1210
P73360		slr1209
P73359		slr1208
P73357		slr1207
P73356		slr1206
P73355		slr1205
P73353		slr1203
P73351		slr1201
P73348		slr1198
P73344		slr1196
P73343		slr1195
P73342		slr1194
P74718		slr1189
P74716		slr1187
P74715		slr1186
P74713		slr1184
P74712		slr1183
P74711		slr1182
P74705		slr1178
P74704		slr1177
P74256		slr1174
P74254		slr1173
P74249		slr1170
P74248		slr1169
P74247		slr1168
P74246		slr1167
P74242		slr1166
P74238		slr1163
P74237		slr1162
P74236		slr1161
P74233		slr1160
P74221		slr1152
P73279		slr1150
P73278		slr1149
P73277		slr1148
P73272		slr1143
P73271		slr1142
P73264		slr1140
P73263		slr1139
P73259		slr1135
P73258		slr1134
P72655		slr1128
P72654		slr1127
P72645		slr1122
P72634		slr1119
P72630		slr1117
P72629		slr1116
P72628		slr1115
P72627		slr1114
P72626		slr1113
P72764		slr1110
P72755		slr1107
P72748		slr1104
P72747		slr1103
P72746		slr1102
P72745		slr1101
P72744		slr1100
P72742		slr1098
P72741		slr1097
P72739		slr1095
P72737		slr1094
P72923		slr1087
P72922		slr1085
P72921		slr1084
